"idC" "idL" "idD" "id" "year" "DOY" "sp" "tree" "phase" "date" "TWood" "type" "Cells" "X" "Y" "Area.zone" "Area.v" "X.v" "Y.v" "Feret.v" "FeretX.v" "FeretY.v" "FeretAngle.v" "MinFeret.v" "X.cor" "Y.cor"
21 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 267.829 44.551 572852.466 NA NA NA NA NA NA NA NA 232.489620196962 35.0889592400424
22 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 257.367 45.248 572852.466 NA NA NA NA NA NA NA NA 222.03750808138 35.921188369132
23 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 133.915 51.526 572852.466 NA NA NA NA NA NA NA NA 98.6770130550813 43.7950600258574
24 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 118.221 52.921 572852.466 NA NA NA NA NA NA NA NA 83.0023644595723 45.3928874280844
25 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 153.793 53.618 572852.466 NA NA NA NA NA NA NA NA 118.580403306061 45.6298364474487
26 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 108.108 60.942 572852.466 NA NA NA NA NA NA NA NA 72.9939321069784 53.5439911474314
27 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 163.208 67.916 572852.466 NA NA NA NA NA NA NA NA 128.179508018159 59.8048926281545
28 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 170.881 73.147 572852.466 NA NA NA NA NA NA NA NA 135.919510159749 64.9362332763855
29 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 161.465 75.588 572852.466 NA NA NA NA NA NA NA NA 126.535862796691 67.4987904300455
30 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 276.199 78.727 572852.466 NA NA NA NA NA NA NA NA 241.300860944724 69.1538665859457
31 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Vessel" "07_Mature Vessels" 250.392 79.686 572852.466 2149.605 247.602 78.64 60.653 2750 31913 104.995 45.178 215.508419873931 70.4465048221255
32 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 221.796 81.168 572852.466 NA NA NA NA NA NA NA NA 186.933975076851 72.2981647635492
33 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 104.621 82.214 572852.466 NA NA NA NA NA NA NA NA 69.7822985771818 74.8593040250386
34 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 186.574 84.656 572852.466 NA NA NA NA NA NA NA NA 151.760024515021 76.2413398641368
35 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 207.149 87.794 572852.466 NA NA NA NA NA NA NA NA 172.373882642251 79.1130157007222
36 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 176.46 89.887 572852.466 NA NA NA NA NA NA NA NA 141.714513879916 81.6026897948913
37 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Vessel" "07_Mature Vessels" 133.566 90.235 572852.466 2270.105 134.887 86.428 58.432 1433 32482 68.834 51.836 98.8286004705047 82.5053364812831
38 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 272.711 91.979 572852.466 NA NA NA NA NA NA NA NA 237.984518360078 82.4498629706194
39 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 172.624 93.374 572852.466 NA NA NA NA NA NA NA NA 137.923926111139 85.1390027571723
40 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 193.548 95.815 572852.466 NA NA NA NA NA NA NA NA 158.87774193158 87.3092238433807
41 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 220.052 96.861 572852.466 NA NA NA NA NA NA NA NA 185.393052008773 88.0124048373887
42 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 165.65 97.908 572852.466 NA NA NA NA NA NA NA NA 131.009139805539 89.7628066401121
43 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 104.272 99.303 572852.466 NA NA NA NA NA NA NA NA 69.6543109834322 91.9513881921566
44 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 207.149 99.651 572852.466 NA NA NA NA NA NA NA NA 172.527209232619 90.9690243021314
45 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 99.738 105.58 572852.466 NA NA NA NA NA NA NA NA 65.2018599426085 98.286493931532
46 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 179.948 106.626 572852.466 NA NA NA NA NA NA NA NA 145.41867950342 98.2951857746317
47 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 211.334 109.765 572852.466 NA NA NA NA NA NA NA NA 176.842646622506 101.028061091704
48 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 161.813 111.16 572852.466 NA NA NA NA NA NA NA NA 127.343826401808 103.06331605338
49 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 193.897 111.508 572852.466 NA NA NA NA NA NA NA NA 159.429643861625 102.996398676971
50 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 272.014 111.857 572852.466 NA NA NA NA NA NA NA NA 237.54462529844 102.335214038537
51 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Axial Parenchyma" "06_Mature Axial Parenchyma" 260.506 112.903 572852.466 NA NA NA NA NA NA NA NA 226.051113670584 103.529940141179
52 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 224.935 113.252 572852.466 NA NA NA NA NA NA NA NA 190.48760089495 104.338890731369
53 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 237.489 113.601 572852.466 NA NA NA NA NA NA NA NA 203.045064246737 104.525521834212
54 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 113.688 114.298 572852.466 NA NA NA NA NA NA NA NA 79.2634287377917 106.823373163332
55 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 99.041 115.344 572852.466 NA NA NA NA NA NA NA NA 64.631179570944 108.058690660692
56 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 175.414 116.391 572852.466 NA NA NA NA NA NA NA NA 141.011332885908 108.117999872084
57 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 210.985 119.878 572852.466 NA NA NA NA NA NA NA NA 176.624450182133 111.144728542668
58 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 136.007 120.227 572852.466 NA NA NA NA NA NA NA NA 101.657232341498 112.463263424555
59 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 242.371 121.622 572852.466 NA NA NA NA NA NA NA NA 208.030378118156 112.482720499787
60 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 151.003 121.622 572852.466 NA NA NA NA NA NA NA NA 116.67001766496 113.664228799422
61 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 222.145 125.458 572852.466 NA NA NA NA NA NA NA NA 187.855673794006 116.579948517987
62 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 200.174 125.806 572852.466 NA NA NA NA NA NA NA NA 165.891010951119 117.21203332108
63 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 176.46 126.155 572852.466 NA NA NA NA NA NA NA NA 142.183506776895 117.867657320902
64 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 271.665 126.504 572852.466 NA NA NA NA NA NA NA NA 237.385059435847 116.985502388446
65 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 188.317 127.201 572852.466 NA NA NA NA NA NA NA NA 154.053041532772 118.760243271401
66 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 243.418 127.899 572852.466 NA NA NA NA NA NA NA NA 209.158460433533 118.745656575602
67 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 162.511 129.294 572852.466 NA NA NA NA NA NA NA NA 128.276264488467 121.186773759197
68 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Axial Parenchyma" "06_Mature Axial Parenchyma" 228.771 130.689 572852.466 NA NA NA NA NA NA NA NA 194.548763478341 121.724828252
69 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 265.039 133.479 572852.466 NA NA NA NA NA NA NA NA 230.849809370474 124.045602074928
70 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 214.124 133.479 572852.466 NA NA NA NA NA NA NA NA 179.939066523149 124.703999928398
71 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 146.818 135.048 572852.466 NA NA NA NA NA NA NA NA 112.658983407171 127.143223761319
72 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 176.46 136.617 572852.466 NA NA NA NA NA NA NA NA 142.318794184202 128.328782562357
73 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 158.326 138.71 572852.466 NA NA NA NA NA NA NA NA 124.213375661446 130.65610400897
74 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Vessel" "07_Mature Vessels" 249.346 138.71 572852.466 0 NA NA 0 0 0 NA 0 215.225765211944 129.479095806615
75 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Axial Parenchyma" "06_Mature Axial Parenchyma" 215.17 144.464 572852.466 NA NA NA NA NA NA NA NA 181.127029548557 135.67455528582
76 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 198.779 145.336 572852.466 NA NA NA NA NA NA NA NA 164.748676154031 136.758439543487
77 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 167.393 145.684 572852.466 NA NA NA NA NA NA NA NA 133.369800526944 137.512272668105
78 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 231.909 147.079 572852.466 NA NA NA NA NA NA NA NA 197.898445337779 138.072879372563
79 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 267.48 147.428 572852.466 NA NA NA NA NA NA NA NA 233.4709841706 137.961870420543
80 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 184.83 150.218 572852.466 NA NA NA NA NA NA NA NA 150.863973145945 141.820410244434
81 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 155.536 153.88 572852.466 NA NA NA NA NA NA NA NA 121.619776975265 145.860913966844
82 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 216.565 154.054 572852.466 NA NA NA NA NA NA NA NA 182.645924209989 145.245714254695
83 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 255.972 156.495 572852.466 NA NA NA NA NA NA NA NA 222.081194612521 147.17692586382
84 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Axial Parenchyma" "06_Mature Axial Parenchyma" 198.779 157.367 572852.466 NA NA NA NA NA NA NA NA 164.904252793039 148.788433596245
85 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 274.106 159.285 572852.466 NA NA NA NA NA NA NA NA 240.249756741649 149.732196135237
86 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Axial Parenchyma" "06_Mature Axial Parenchyma" 176.112 159.983 572852.466 NA NA NA NA NA NA NA NA 142.27297636496 151.697328959757
87 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Vessel" "07_Mature Vessels" 116.478 160.593 572852.466 3961.899 115.678 158.511 77.749 1181 30904 108.029 65.724 82.6518506403836 153.078423936302
88 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 165.998 166.085 572852.466 NA NA NA NA NA NA NA NA 132.238728904369 157.929606063644
89 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 265.737 169.747 572852.466 NA NA NA NA NA NA NA NA 232.016743905623 160.30154354375
90 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 192.502 171.316 572852.466 NA NA NA NA NA NA NA NA 158.808156530747 162.817437137512
91 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Axial Parenchyma" "06_Mature Axial Parenchyma" 182.738 172.014 572852.466 NA NA NA NA NA NA NA NA 149.05399898465 163.641640125801
92 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 278.291 174.978 572852.466 NA NA NA NA NA NA NA NA 244.637337932469 165.369766448236
93 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 148.91 177.245 572852.466 NA NA NA NA NA NA NA NA 115.296471146727 169.309643237292
94 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 164.255 179.686 572852.466 NA NA NA NA NA NA NA NA 130.671753443742 171.552008124433
95 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 258.413 179.861 572852.466 NA NA NA NA NA NA NA NA 224.824143596799 170.509406826411
96 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 274.804 186.312 572852.466 NA NA NA NA NA NA NA NA 241.297193003914 176.747910271208
97 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 148.213 188.405 572852.466 NA NA NA NA NA NA NA NA 114.743842889438 180.477723242791
98 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 179.25 190.497 572852.466 NA NA NA NA NA NA NA NA 145.805300103656 182.168199131202
99 "St.Fs.55.06_28_2018.179.M" "St.Fs.55.06_28_2018" "Fs.55" 2018 179 "Fs" 55 "M" "06_28_2018" "DP" "Fibers" "05_Mature Fibers" 265.737 191.892 572852.466 NA NA NA NA NA NA NA NA 232.303107854658 182.444691935266
